2025-04-12 22:21:28.415 | INFO     | page_object.homepage_v2:click_login_link:33 - =======开始点击首页的登录链接==========
2025-04-12 22:21:28.415 | INFO     | common.basepage_v2:click_element:68 - 点击这个元素：('xpath', '//a[text()="登录"]')
2025-04-12 22:21:28.416 | INFO     | common.basepage_v2:wait_element_clickable:28 - 等待('xpath', '//a[text()="登录"]')可以被点击
2025-04-12 22:21:28.492 | INFO     | page_object.loginpage_v2:login_action:27 - =======开始做登录操作==========
2025-04-12 22:21:28.492 | INFO     | common.basepage_v2:input_text:73 - 对这个元素输入文本：('xpath', '//input[@placeholder="请输入手机号/用户名"]')，输入的内容是：lemon_py
2025-04-12 22:21:28.493 | INFO     | common.basepage_v2:wait_element_visible:37 - 等待('xpath', '//input[@placeholder="请输入手机号/用户名"]')可以可见
2025-04-12 22:21:28.618 | INFO     | common.basepage_v2:input_text:73 - 对这个元素输入文本：('xpath', '//input[@placeholder="请输入密码"]')，输入的内容是：12345678
2025-04-12 22:21:28.619 | INFO     | common.basepage_v2:wait_element_visible:37 - 等待('xpath', '//input[@placeholder="请输入密码"]')可以可见
2025-04-12 22:21:28.686 | INFO     | common.basepage_v2:click_element:68 - 点击这个元素：('class name', 'login-button')
2025-04-12 22:21:28.686 | INFO     | common.basepage_v2:wait_element_clickable:28 - 等待('class name', 'login-button')可以被点击
2025-04-12 22:21:29.751 | INFO     | page_object.homepage_v2:weltext_is_display_method:52 - =======开始判断欢迎用户信息是否显示==========
2025-04-12 22:21:29.751 | INFO     | common.basepage_v2:element_display:91 - 这个元素是否可见：('xpath', '//span[text()="欢迎来到柠檬班"]')
2025-04-12 22:21:29.751 | INFO     | common.basepage_v2:wait_element_visible:37 - 等待('xpath', '//span[text()="欢迎来到柠檬班"]')可以可见
2025-04-12 22:21:30.538 | INFO     | common.handle_assert:assert_condition:27 - ===========开始做断言：条件是否成立============
2025-04-12 22:21:30.538 | INFO     | common.handle_assert:assert_condition:30 - 断言成功！条件【True】成立的！
2025-04-12 22:21:30.539 | INFO     | page_object.homepage_v2:get_username_method:57 - =======开始获取登录后的用户名信息==========
2025-04-12 22:21:30.539 | INFO     | common.basepage_v2:get_text:79 - 获取这个元素的文本：('xpath', '//a[@class="link-name"]')
